Bus Voltage,Power,Current
4.82 V,702.00 mW,145.80 mA
4.82 V,702.00 mW,145.10 mA
4.94 V,314.00 mW,63.20 mA
4.93 V,338.00 mW,69.80 mA
4.94 V,330.00 mW,70.10 mA
4.93 V,348.00 mW,70.40 mA
4.82 V,698.00 mW,144.70 mA
4.82 V,698.00 mW,145.60 mA
4.81 V,698.00 mW,145.90 mA
4.95 V,314.00 mW,63.30 mA
4.94 V,308.00 mW,63.00 mA
4.93 V,348.00 mW,69.80 mA
4.94 V,348.00 mW,70.20 mA
4.81 V,672.00 mW,145.60 mA
4.81 V,704.00 mW,145.20 mA
4.81 V,702.00 mW,145.30 mA
4.94 V,318.00 mW,63.00 mA
4.95 V,312.00 mW,64.90 mA
4.94 V,348.00 mW,70.20 mA
4.94 V,328.00 mW,69.90 mA
4.94 V,344.00 mW,69.90 mA
4.81 V,698.00 mW,145.50 mA
4.82 V,698.00 mW,145.60 mA
4.81 V,698.00 mW,145.50 mA
4.94 V,314.00 mW,62.90 mA
4.94 V,312.00 mW,63.20 mA
4.94 V,338.00 mW,67.00 mA
4.93 V,328.00 mW,68.30 mA
4.82 V,702.00 mW,145.30 mA
4.81 V,702.00 mW,145.70 mA
4.81 V,698.00 mW,144.80 mA
4.95 V,312.00 mW,62.40 mA
4.94 V,312.00 mW,62.50 mA
4.94 V,328.00 mW,68.00 mA
4.94 V,334.00 mW,66.10 mA
4.91 V,410.00 mW,83.30 mA
4.82 V,702.00 mW,145.10 mA
4.81 V,702.00 mW,145.60 mA
4.82 V,698.00 mW,146.60 mA
4.94 V,312.00 mW,63.00 mA
4.94 V,330.00 mW,67.20 mA
4.94 V,334.00 mW,70.00 mA
4.94 V,334.00 mW,69.90 mA
4.82 V,704.00 mW,145.80 mA
4.81 V,704.00 mW,144.70 mA
4.81 V,694.00 mW,145.10 mA
